date,msci
05/04/2012,"1,264.985"
05/07/2012,"1,260.927"
05/08/2012,"1,250.582"
05/09/2012,"1,240.848"
05/10/2012,"1,245.043"
05/11/2012,"1,242.404"
05/14/2012,"1,224.337"
05/15/2012,"1,213.994"
05/16/2012,"1,204.635"
05/17/2012,"1,191.485"
05/18/2012,"1,178.430"
05/21/2012,"1,191.452"
05/22/2012,"1,199.880"
05/23/2012,"1,187.358"
05/24/2012,"1,191.464"
05/25/2012,"1,188.559"
05/28/2012,"1,190.116"
05/29/2012,"1,201.506"
05/30/2012,"1,181.366"
05/31/2012,"1,177.645"
06/01/2012,"1,152.971"
06/04/2012,"1,151.206"
06/05/2012,"1,158.302"
06/06/2012,"1,183.598"
06/07/2012,"1,190.738"
06/08/2012,"1,188.859"
06/11/2012,"1,184.098"
06/12/2012,"1,191.915"
06/13/2012,"1,190.174"
06/14/2012,"1,196.004"
06/15/2012,"1,208.529"
06/18/2012,"1,211.713"
06/19/2012,"1,226.936"
06/20/2012,"1,229.503"
06/21/2012,"1,206.861"
06/22/2012,"1,205.670"
06/25/2012,"1,188.274"
06/26/2012,"1,190.430"
06/27/2012,"1,201.707"
06/28/2012,"1,199.935"
06/29/2012,"1,235.716"
07/02/2012,"1,240.496"
07/03/2012,"1,251.400"
07/04/2012,"1,250.168"
07/05/2012,"1,242.387"
07/06/2012,"1,229.356"
07/09/2012,"1,224.124"
07/10/2012,"1,218.790"
07/11/2012,"1,218.814"
07/12/2012,"1,207.472"
07/13/2012,"1,225.547"
07/16/2012,"1,225.352"
07/17/2012,"1,229.118"
07/18/2012,"1,239.070"
07/19/2012,"1,247.821"
07/20/2012,"1,231.352"
07/23/2012,"1,212.045"
07/24/2012,"1,202.882"
07/25/2012,"1,201.744"
07/26/2012,"1,227.823"
07/27/2012,"1,250.016"
07/30/2012,"1,253.897"
07/31/2012,"1,250.569"
08/01/2012,"1,248.103"
08/02/2012,"1,234.966"
08/03/2012,"1,259.650"
08/06/2012,"1,267.849"
08/07/2012,"1,276.403"
08/08/2012,"1,276.092"
08/09/2012,"1,277.793"
08/10/2012,"1,278.359"
08/13/2012,"1,276.256"
08/14/2012,"1,277.508"
08/15/2012,"1,276.822"
08/16/2012,"1,287.618"
08/17/2012,"1,290.232"
08/20/2012,"1,289.752"
08/21/2012,"1,293.428"
08/22/2012,"1,287.843"
08/23/2012,"1,285.283"
08/24/2012,"1,285.840"
08/27/2012,"1,286.548"
08/28/2012,"1,284.252"
08/29/2012,"1,283.227"
08/30/2012,"1,272.020"
08/31/2012,"1,279.208"
09/03/2012,"1,280.760"
09/04/2012,"1,274.653"
09/05/2012,"1,273.215"
09/06/2012,"1,297.596"
09/07/2012,"1,312.078"
09/10/2012,"1,306.306"
09/11/2012,"1,311.712"
09/12/2012,"1,316.702"
09/13/2012,"1,329.483"
09/14/2012,"1,347.614"
09/17/2012,"1,342.310"
09/18/2012,"1,337.163"
09/19/2012,"1,341.496"
09/20/2012,"1,334.482"
09/21/2012,"1,338.047"
09/24/2012,"1,331.805"
09/25/2012,"1,327.245"
09/26/2012,"1,309.401"
09/27/2012,"1,320.173"
09/28/2012,"1,311.504"
10/01/2012,"1,318.824"
10/02/2012,"1,319.515"
10/03/2012,"1,318.914"
10/04/2012,"1,329.005"
10/05/2012,"1,334.630"
10/08/2012,"1,326.366"
10/09/2012,"1,313.460"
10/10/2012,"1,305.145"
10/11/2012,"1,308.834"
10/12/2012,"1,306.020"
10/15/2012,"1,312.779"
10/16/2012,"1,329.431"
