date,msci
05/27/2013,371.920
05/28/2013,373.679
05/29/2013,371.543
05/30/2013,371.873
05/31/2013,367.195
06/03/2013,366.930
06/04/2013,367.328
06/05/2013,361.826
06/06/2013,362.428
06/07/2013,365.608
06/10/2013,365.918
06/11/2013,362.989
06/12/2013,361.701
06/13/2013,362.698
06/14/2013,363.048
06/17/2013,366.089
06/18/2013,367.271
06/19/2013,365.185
06/20/2013,352.317
06/21/2013,351.386
06/24/2013,346.201
06/25/2013,348.853
06/26/2013,352.401
06/27/2013,355.464
06/28/2013,355.811
07/01/2013,358.254
07/02/2013,357.949
07/03/2013,356.155
07/04/2013,358.260
07/05/2013,358.249
07/08/2013,359.615
07/09/2013,362.315
07/10/2013,363.506
07/11/2013,369.815
07/12/2013,370.281
07/15/2013,371.155
07/16/2013,371.098
07/17/2013,371.997
07/18/2013,373.620
07/19/2013,373.848
07/22/2013,375.562
07/23/2013,376.019
07/24/2013,375.605
07/25/2013,375.283
07/26/2013,374.914
07/29/2013,372.968
07/30/2013,373.282
07/31/2013,372.490
08/01/2013,376.514
08/02/2013,378.533
08/05/2013,377.832
08/06/2013,376.870
08/07/2013,374.587
08/08/2013,376.822
08/09/2013,376.833
08/12/2013,376.484
08/13/2013,377.521
08/14/2013,377.572
08/15/2013,373.092
08/16/2013,373.137
08/19/2013,370.939
08/20/2013,370.218
08/21/2013,367.470
08/22/2013,369.181
08/23/2013,371.984
08/26/2013,371.086
08/27/2013,365.940
08/28/2013,364.737
08/29/2013,365.447
08/30/2013,363.976
09/02/2013,366.209
09/03/2013,367.098
09/04/2013,369.514
09/05/2013,370.221
09/06/2013,371.627
09/09/2013,375.375
09/10/2013,379.038
09/11/2013,380.514
09/12/2013,379.832
09/13/2013,379.854
09/16/2013,383.309
09/17/2013,383.496
09/18/2013,386.581
09/19/2013,390.056
09/20/2013,387.482
09/23/2013,386.429
09/24/2013,385.677
09/25/2013,385.148
09/26/2013,385.611
09/27/2013,385.094
09/30/2013,382.070
10/01/2013,384.616
10/02/2013,384.132
10/03/2013,382.639
10/04/2013,383.789
10/07/2013,381.206
10/08/2013,378.466
10/09/2013,377.592
10/10/2013,383.709
10/11/2013,386.612
10/14/2013,387.782
10/15/2013,387.081
10/16/2013,389.817
10/17/2013,393.519
10/18/2013,396.397
10/21/2013,396.773
10/22/2013,399.294
10/23/2013,396.801
10/24/2013,398.069
10/25/2013,397.926
10/28/2013,398.728
10/29/2013,399.735
10/30/2013,399.447
10/31/2013,397.109
11/01/2013,395.727
11/04/2013,397.004
11/05/2013,395.577
11/06/2013,397.397
11/07/2013,392.903
11/08/2013,393.984
11/11/2013,394.889
11/12/2013,394.319
11/13/2013,394.485
11/14/2013,397.481
11/15/2013,399.957
11/18/2013,401.113
11/19/2013,399.675
11/20/2013,398.340
11/21/2013,398.783
11/22/2013,400.493
11/25/2013,400.675
11/26/2013,400.057
11/27/2013,400.845
11/28/2013,401.877
11/29/2013,402.047
12/02/2013,400.280
12/03/2013,398.052
12/04/2013,395.865
12/05/2013,394.695
12/06/2013,397.874
12/09/2013,399.430
12/10/2013,398.669
12/11/2013,395.144
12/12/2013,392.159
12/13/2013,391.891
12/16/2013,394.200
12/17/2013,393.011
12/18/2013,397.715
12/19/2013,398.644
12/20/2013,400.359
12/23/2013,402.885
12/24/2013,403.523
12/25/2013,403.519
12/26/2013,404.885
12/27/2013,406.807
12/30/2013,407.433
12/31/2013,408.549
01/01/2014,408.553
01/02/2014,404.549
01/03/2014,404.244
01/06/2014,402.862
01/07/2014,404.249
01/08/2014,404.874
01/09/2014,403.604
01/10/2014,405.829
01/13/2014,404.014
01/14/2014,405.310
01/15/2014,407.237
01/16/2014,406.951
01/17/2014,406.404
01/20/2014,406.296
01/21/2014,406.816
01/22/2014,407.559
01/23/2014,404.537
01/24/2014,396.872
01/27/2014,393.131
01/28/2014,394.651
01/29/2014,393.073
01/30/2014,393.894
01/31/2014,391.921
02/03/2014,385.664
02/04/2014,384.836
02/05/2014,385.322
02/06/2014,390.362
02/07/2014,394.883
02/10/2014,395.905
02/11/2014,400.193
02/12/2014,401.275
02/13/2014,402.159
02/14/2014,404.177
02/17/2014,405.235
02/18/2014,406.537
02/19/2014,405.337
02/20/2014,405.184
02/21/2014,406.401
02/24/2014,408.224
02/25/2014,408.341
02/26/2014,407.370
02/27/2014,408.452
02/28/2014,410.129
03/03/2014,405.055
03/04/2014,410.224
03/05/2014,410.620
03/06/2014,412.649
03/07/2014,411.411
03/10/2014,409.882
03/11/2014,408.967
03/12/2014,407.020
03/13/2014,403.908
03/14/2014,401.352
03/17/2014,404.405
03/18/2014,407.347
03/19/2014,405.630
03/20/2014,404.380
03/21/2014,404.360
03/24/2014,403.119
03/25/2014,405.454
03/26/2014,405.581
03/27/2014,405.620
03/28/2014,407.953
03/31/2014,411.021
04/01/2014,413.446
04/02/2014,414.455
04/03/2014,413.736
04/04/2014,411.865
04/07/2014,408.229
04/08/2014,409.532
04/09/2014,412.217
04/10/2014,408.292
04/11/2014,404.139
04/14/2014,405.279
04/15/2014,405.272
04/16/2014,409.378
04/17/2014,410.762
04/18/2014,411.050
04/21/2014,411.397
04/22/2014,413.413
04/23/2014,412.600
04/24/2014,413.047
04/25/2014,410.279
04/28/2014,410.684
04/29/2014,413.118
04/30/2014,414.094
05/01/2014,414.708
05/02/2014,414.721
05/05/2014,414.789
05/06/2014,413.544
05/07/2014,413.683
05/08/2014,414.475
05/09/2014,413.641
05/12/2014,416.556
05/13/2014,417.528
05/14/2014,417.256
05/15/2014,414.381
05/16/2014,414.803
05/19/2014,415.436
05/20/2014,413.465
05/21/2014,415.410
05/22/2014,417.109
05/23/2014,418.411
05/26/2014,419.515
05/27/2014,420.109
05/28/2014,420.009
05/29/2014,421.586
05/30/2014,421.534
06/02/2014,422.071
06/03/2014,422.040
06/04/2014,422.255
06/05/2014,424.140
06/06/2014,426.527
06/09/2014,427.037
06/10/2014,427.274
06/11/2014,426.303
06/12/2014,424.994
06/13/2014,425.121
06/16/2014,424.947
06/17/2014,425.209
06/18/2014,427.234
06/19/2014,429.802
06/20/2014,429.320
06/23/2014,429.000
06/24/2014,427.404
06/25/2014,427.194
06/26/2014,427.223
06/27/2014,427.983
06/30/2014,428.746
07/01/2014,431.259
07/02/2014,432.150
07/03/2014,433.789
07/04/2014,433.652
07/07/2014,431.844
07/08/2014,428.976
07/09/2014,429.779
07/10/2014,427.307
07/11/2014,427.476
07/14/2014,430.116
07/15/2014,429.008
07/16/2014,431.233
07/17/2014,427.450
07/18/2014,429.497
07/21/2014,428.579
07/22/2014,431.412
07/23/2014,432.289
07/24/2014,432.900
07/25/2014,431.046
07/28/2014,431.071
07/29/2014,430.245
07/30/2014,429.288
07/31/2014,423.043
08/01/2014,420.908
08/04/2014,422.280
08/05/2014,419.395
08/06/2014,417.997
08/07/2014,415.904
08/08/2014,416.936
08/11/2014,420.061
08/12/2014,419.699
08/13/2014,422.044
08/14/2014,423.637
08/15/2014,423.410
08/18/2014,426.403
08/19/2014,428.374
08/20/2014,428.602
08/21/2014,429.799
08/22/2014,428.547
08/25/2014,430.684
08/26/2014,431.650
08/27/2014,432.251
08/28/2014,430.563
08/29/2014,431.549
09/01/2014,431.592
09/02/2014,431.177
09/03/2014,432.859
09/04/2014,432.085
09/05/2014,432.374
09/08/2014,430.907
09/09/2014,428.144
09/10/2014,428.158
09/11/2014,428.164
09/12/2014,426.169
